year	N	snow
1956	2785	NA
1957	2869	NA
1958	3363	NA
1959	3537	NA
1960	3380	NA
1961	3665	158
1962	3795	216
1963	2831	139
1964	3212	100
1965	3521	151
1966	3285	118
1967	3498	83
1968	3796	180
1969	3224	134
1970	3426	141
1971	3376	267
1972	2776	86
1973	3157	195
1974	3124	138
1975	3589	129
1976	3729	277
1977	2445	194
1978	3090	121
1979	3040	185
1980	3231	72
1981	3399	105
1982	3259	148
1983	3192	104
1984	3355	129
1985	3747	139
1986	3904	85
1987	4280	107
1988	4308	64
1989	4684	48
1990	4639	135
1991	4791	37
1992	4757	93
1993	4976	100
1994	4152	76
1995	4354	120
1996	3973	145
1997	3597	73
1998	3709	63
1999	3676	43
2000	3642	89
2001	3558	29
2002	3822	86
2003	3447	108
2004	3391	23
2005	3508	NA
2006	3015	NA
