year	N	snowdepth_may
1950	20	NA
1951	NA	NA
1952	NA	NA
1953	NA	NA
1954	NA	NA
1955	NA	NA
1956	NA	0
1957	NA	0
1958	NA	0
1959	NA	0
1960	20	0
1961	NA	0
1962	NA	0
1963	NA	0
1964	NA	0
1965	NA	0
1966	NA	0
1967	22	0
1968	25	3.32
1969	32	15.1
1970	32	3.61
1971	NA	4.23
1972	NA	3.97
1973	37	0
1974	NA	19.32
1975	NA	19.94
1976	NA	2.39
1977	NA	8.16
1978	51	7.03
1979	NA	0.97
1980	50	13.23
1981	NA	12.87
1982	NA	6.97
1983	NA	0.74
1984	NA	13.81
1985	NA	4
1986	NA	6.71
1987	NA	13.9
1988	NA	0
1989	54	0.13
1990	62	0
1991	NA	16.87
1992	NA	2.39
1993	NA	5.39
1994	50	20.94
1995	71	5.71
1996	83	32.81
1997	83	3.03
1998	101	13.55
1999	95	5.48
2000	95	6.03
2001	112	1.55
2002	124	2.45
2003	135	0
2004	170	5.35
2005	170	4.32
2006	213	0.81
2007	190	4.45
2008	190	0.06
2009	201	0
2010	225	0
2011	283	0.84
2012	279	8.74
2013	206	0
2014	NA	14.23
2015	240	9.29
2016	220	13.48
2017	249	NA
